userId,movieId,Recommend_Val,title
1,4,4.133571624755859,Waiting to Exhale (1995)
1,5,1.8190171718597412,Father of the Bride Part II (1995)
2,5,3.533808946609497,Father of the Bride Part II (1995)
2,1,1.607014775276184,Toy Story (1995)
3,3,0.0,Grumpier Old Men (1995)
3,1,0.0,Toy Story (1995)
4,1,0.0,Toy Story (1995)
4,3,4.589375019073486,Grumpier Old Men (1995)
5,4,1.0182337760925293,Waiting to Exhale (1995)
5,8,3.1999998092651367,Tom and Huck (1995)
6,9,3.1999998092651367,Sudden Death (1995)
6,5,1.9199999570846558,Father of the Bride Part II (1995)
7,10,3.1999998092651367,GoldenEye (1995)
7,6,1.9199999570846558,Heat (1995)
8,7,1.9199999570846558,Sabrina (1995)
8,11,3.1999998092651367,"American President, The (1995)"
9,8,1.9199999570846558,Tom and Huck (1995)
9,12,3.1999998092651367,I am 12
10,8,0.9000000357627869,Tom and Huck (1995)
10,9,3.119999885559082,Sudden Death (1995)
